DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Padukka,Pahala Padukka,461C,1329,632,697,6.8416381,80.0835241
Padukka,Liyanwala,462,1175,570,605,6.8369077,80.0786359
Padukka,Kurugala,465,1469,725,744,6.8223319,80.0772392
Padukka,Madulawa South,463A,983,495,488,6.830093,80.0688587
Padukka,Madulawa North,463,1361,671,690,6.824688,80.0632713
Padukka,Horakandawala,464C,2059,1018,1041,6.8271014,80.0520952
Padukka,Dampe,464A,1498,726,772,6.8191103,80.049301
Padukka,Dampe,464A,1498,726,772,6.7701052,79.9164717
Kesbewa,Dampe,566,4165,2047,2118,6.8191103,80.049301
Kesbewa,Dampe,566,4165,2047,2118,6.7701052,79.9164717
Padukka,Beruketiya,464D,1901,940,961,6.7980749,80.0548894
Padukka,Horagala West,464B,1284,626,658,6.8048278,80.0618743
Padukka,Horagala East,464,1763,891,872,6.8155191,80.0674619
Padukka,Beliattavila,461D,753,385,368,6.810806,80.0953942
Padukka,Miriyagalla,466,1367,659,708,6.8164391,80.1121493
Padukka,Malagala,467,1755,808,947,6.7951715,80.1065646
Padukka,Kahawala,467A,932,446,486,6.7794255,80.1121493
Padukka,Yatawathura,468,764,347,417,6.7808897,80.1191296
Padukka,Mahingala,455A,621,307,314,6.8166684,80.1233175
Padukka,Ihala Bope,459,1412,690,722,6.8263552,80.144254
Padukka,Gurulana,458B,917,462,455,6.8345776,80.1582088
Padukka,Udagama,458,765,366,399,6.8283919,80.1791368
Padukka,Dambora,458C,813,398,415,6.8469706,80.1819268
Maharagama,Mirihana South,523A,6043,2971,3072,6.8762544,79.9045771
Maharagama,Mirihana North,523,6222,2953,3269,6.8796652,79.9094751
Maharagama,Madiwela,524,6244,3028,3216,6.8773153,79.9234678
Maharagama,Thalawathugoda West,493A,5492,2759,2733,6.8709078,79.9332613
Maharagama,Thalawathugoda East,493B,6217,2954,3263,6.8742177,79.9435917
Maharagama,Kalalgoda,493,4956,2383,2573,6.8699681,79.9514464
Maharagama,Kottawa East,496A,5632,2673,2959,6.8557414,79.9668308
Maharagama,Rukmale West,497,4471,2185,2286,6.8572692,79.9766195
Maharagama,Rukmale East A,497A,1259,608,651,6.8600317,79.9822126
Maharagama,Rukmale East B,497B,2697,1265,1432,6.8555047,79.9871062
Maharagama,Liyanagoda,496E,4342,2081,2261,6.8595625,79.9598383
Maharagama,Kottawa North,496C,2466,1186,1280,6.8614731,79.9563417
Maharagama,Depanama,529A,7647,3700,3947,6.8604633,79.9446302
Maharagama,Polwatta,529,3513,1667,1846,6.8617962,79.940256
Maharagama,Pamunuwa,528,4543,2294,2249,6.8589743,79.9318623
Maharagama,Thalapathpitiya,525,7086,3249,3837,6.8693785,79.9234678
Maharagama,Pragathipura,524A,5838,2867,2971,6.8764912,79.9157721
Maharagama,Udahamulla East,525A,6309,3132,3177,6.8665559,79.9150724
Maharagama,Udahamulla West,525B,4780,2309,2471,6.8639697,79.9178709
